Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelM_US_FPCMP2,CCU,ATL,CCU,ATL,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,PDK,HYD,PDK,HYD,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,BOM,BWI,BOM,BWI,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,PHX,MAA,PHX,MAA,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,PHL,CCJ,PHL,CCJ,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,DEL,ATL,DEL,ATL,0.55,4,1.17,0.76,0.56,0.56,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,SAN,CCU,SAN,CCU,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,RSW,DEL,RSW,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,LAX,DEL,LAX,0.45,3.26,1.22,0.53,0.46,0.46,0,4,0
FlyDealFarePanelM_US_FPCMP2,BLR,SAN,BLR,SAN,0.45,3,1.23,0.46,0.46,0.46,0,2,0
FlyDealFarePanelD_US_FPCMP2,DAL,HYD,DAL,HYD,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,HYD,NYC,HYD,1,1,1,1.01,1.01,1.01,0,9,0
FlyDealFarePanelM_US_FPCMP2,CVG,HYD,CVG,HYD,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelMOW_US_FPCMP2,BOM,IAD,BOM,IAD,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,NYC,DEL,NYC,0.25,1.32,0.42,0.26,0.26,0.26,1,3,0.25
FlyDealFarePanelMOW_US_FPCMP2,DEL,SMF,DEL,SMF,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,TRV,IAH,TRV,IAH,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,HOU,COK,HOU,COK,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelM_US_FPCMP2,BOM,STL,BOM,STL,0.45,3,1.22,0.46,0.46,0.46,0,2,0
FlyDealFarePanelDOW_US_FPCMP2,PIT,NAG,PIT,NAG,1.2,1,1.2,1.21,1.21,1.21,1,1,1.2
FlyDealFarePanelD_US_FPCMP2,BNA,BOM,BNA,BOM,0.95,2,1.02,0.96,0.96,0.96,0,2,0
FlyDealFarePanelM_US_FPCMP2,NYC,TRV,NYC,TRV,1,1,1,1.01,1.01,1.01,1,4,1
FlyDealFarePanelMOW_US_FPCMP2,PHX,COK,PHX,COK,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,RIC,MAA,RIC,MAA,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,LAX,BDQ,LAX,BDQ,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,EWR,HYD,EWR,HYD,0.92,2.92,1.51,1.22,0.93,0.93,2,11,1.84
FlyDealFarePanelMOW_US_FPCMP2,RDU,GOI,RDU,GOI,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,SFO,DEL,SFO,DEL,0.95,4.12,2.21,1.02,0.96,0.96,1,8,0.95
FlyDealFarePanelM_US_FPCMP2,DCA,DEL,DCA,DEL,1,2,1.22,1.01,1.01,1.01,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,PNS,DEL,PNS,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelD_US_FPCMP2,SEA,BOM,SEA,BOM,0.95,2,1.02,0.96,0.96,0.96,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,ONT,DEL,ONT,DEL,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,PHL,BLR,PHL,BLR,1,2,1.22,1.01,1.01,1.01,1,3,1
